Èíslo	Slovo	Poèet pouití
1	a	2888276
2	se	2460596
3	na	1713721
4	v	1654118
5	je	1062474
6	e	940618
7	to	865165
8	s	761126
9	z	653892
10	do	647272
11	si	623725
12	jsem	560444
13	o	537288
14	i	513662
15	ale	445544
16	k	424720
17	jako	407858
18	ve	353650
19	za	342994
20	pro	340094
21	by	334933
22	tak	323183
23	po	284751
24	u	252229
25	V	248955
26	co	246721
27	A	238017
28	jsou	235362
29	nebo	231846
30	které	231755
31	jak	226813
32	od	220690
33	kdy	214231
34	jeho	211430
35	jen	206709
36	kterı	203631
37	byl	194660
38	jsme	192816
39	aby	180912
40	ho	179149
41	mi	176236
42	u	174743
43	ne	166177
44	a	161041
45	mì	160955
46	mu	158138
47	má	151797
48	bylo	148068
49	byla	147324
50	ještì	145498
51	bude	140192
52	ze	139817
53	Na	138354
54	také	137583
55	která	136824
56	ji	135432
57	pak	134135
58	bıt	131965
59	ani	129921
60	To	128592
61	pøed	126461
62	pøi	125560
63	není	113889
64	však	112439
65	jejich	109717
66	Ale	108133
67	toho	106366
68	Je	106151
69	kde	106074
70	své	103736
71	tam	103488
72	mezi	103373
73	jí	101959
74	tom	99444
75	tím	98474
76	tu	95892
77	Kdy	94342
78	èi	94286
79	protoe	90945
80	nìco	89012
81	let	87834
82	mùe	86178
83	mìl	85834
84	ke	85070
85	podle	84148
86	kdy	82330
87	nás	81606
88	já	81271
89	bez	79032
90	nic	78163
91	ní	77669
92	tomu	77285
93	tedy	76924
94	další	75741
95	její	73851
96	pod	73838
97	roce	71110
98	ten	70262
99	kteøí	70238
100	ne	69773
101	první	69640
102	roku	68230
103	ty	68228
104	velmi	66528
105	øekl	65499
106	bych	65376
107	byly	65335
108	jste	64318
109	nad	64152
110	tøeba	64132
111	teï	63783
112	mají	62107
113	nìj	61700
114	Co	60952
115	nám	60079
116	proto	59499
117	pøes	59177
118	Jak	59152
119	nich	58243
120	ji	57355
121	jim	56778
122	asi	56441
123	právì	55114
124	více	54799
125	mìla	54613
126	dva	53842
127	kolem	52884
128	musí	52685
129	všechno	52654
130	kterou	52584
131	vám	52183
132	sebe	51559
133	mít	51213
134	Z	51186
135	dobøe	51129
136	ti	50965
137	všechny	50789
138	nikdy	50621
139	I	50168
140	vás	49517
141	vùbec	49264
142	Po	49159
143	proti	48593
144	jeden	48172
145	svou	48034
146	toti	47955
147	tøi	47934
148	pouze	47696
149	co	47610
150	stejnì	47333
151	budou	46865
152	moc	46726
153	napøíklad	46633
154	stále	46371
155	Pokud	45479
156	tady	45431
157	Tak	44997
158	lidí	44985
159	místo	44820
160	Já	44781
161	S	44707
162	svého	44409
163	víc	44300
164	zase	43791
165	té	43395
166	nìkolik	43038
167	této	42704
168	kdo	42581
169	chvíli	41733
170	všech	41560
171	pøípadì	41303
172	dnes	41128
173	den	41097
174	O	41056
175	dobì	41012
176	Ve	40934
177	dvì	40681
178	práce	40287
179	mohl	39631
180	lze	39518
181	pokud	39485
182	korun	39444
183	mohou	39281
184	èasto	39189
185	byli	39035
186	trochu	38922
187	letech	38833
188	lidé	38829
189	jsi	38739
190	jestli	38404
191	dokonce	38145
192	sám	38032
193	øíká	38018
194	vlastní	38007
195	ivot	37900
196	ta	37725
197	Za	37373
198	take	37344
199	èlovìk	36761
200	jde	36495
201	dál	36259
202	svıch	36121
203	Pro	36094
204	sobì	36038
205	ním	35920
206	mìli	35873
207	pár	35802
208	on	35791
209	taky	35706
210	svùj	35395
211	li	35110
212	dìti	34983
213	mám	34767
214	znovu	34743
215	kvùli	34545
216	poslední	34445
217	pøedevším	34271
218	kadı	33917
219	U	33867
220	pøíliš	33507
221	Podle	33463
222	jednou	33374
223	moná	33210
224	ovšem	33107
225	proè	32985
226	moné	32841
227	spoleènosti	32749
228	úplnì	32743
229	nové	32722
230	sebou	32708
231	Pak	32523
232	jenom	32422
233	K	31903
234	témìø	31868
235	Kè	31845
236	Do	31780
237	je	31742
238	nìm	31720
239	èas	31463
240	sice	31427
241	rok	31204
242	nìkdo	31179
243	hned	31149
244	všichni	31042
245	pøece	31041
246	zde	30883
247	øekla	30856
248	jiné	30737
249	nakonec	30721
250	práci	30638
251	svım	30400
252	druhé	30362
253	celé	30032
254	zcela	29913
255	nejen	29776
256	tìch	29702
257	Ne	29632
258	ivota	29611
259	pozdìji	29508
260	tento	29349
261	dvou	29299
262	oèi	29281
263	hodnì	29187
264	dost	29126
265	snad	29072
266	vdy	29044
267	vlastnì	28901
268	pøímo	28866
269	tohoto	28863
270	kdyby	28773
271	opravdu	28720
272	U	28698
273	vìtší	28679
274	Pøi	28437
275	nikdo	28423
276	vìci	28296
277	století	28196
278	navíc	28148
279	svìta	28124
280	bìhem	28013
281	tisíc	27933
282	Byl	27924
283	celı	27822
284	dlouho	27704
285	abych	27699
286	tìchto	27665
287	Jeho	27653
288	dalších	27564
289	tì	27558
290	poøád	27480
291	ruce	27104
292	jej	27077
293	velké	27006
294	nìkdy	26971
295	Jako	26905
296	patøí	26750
297	díky	26605
298	nyní	26577
299	spolu	26541
300	mnì	26513
301	tomto	26284
302	pøitom	26149
303	stát	25997
304	rychle	25813
305	mùete	25772
306	opìt	25630
307	Ten	25618
308	mìsta	25545
309	ni	25534
310	jinak	25490
311	oblasti	25304
312	zda	25236
313	èásti	25209
314	nìkolika	25060
315	èást	24779
316	dobu	24762
317	tehdy	24710
318	vdycky	24683
319	hlavnì	24506
320	nebyl	24447
321	mohla	24373
322	zejména	24320
323	nemá	24246
324	nimi	24242
325	prostøedí	24203
326	domù	24160
327	nebylo	24140
328	chce	24107
329	samozøejmì	23903
330	jednoho	23764
331	vody	23666
332	Bylo	23620
333	sem	23619
334	Proè	23569
335	doby	23561
336	Od	23469
337	zaèal	23433
338	bychom	23365
339	stranì	23330
340	svìtì	23323
341	jedné	23303
342	peníze	23264
343	hodin	23250
344	nì	23226
345	svém	23165
346	ètyøi	22987
347	Ty	22916
348	chtìl	22888
349	zatím	22836
350	vše	22829
351	místì	22767
352	vedle	22740
353	nejsou	22688
354	naše	22604
355	prostì	22546
356	ní	22499
357	dìlat	22398
358	øíct	22385
359	stojí	22345
360	nebude	22326
361	celou	22253
362	pìt	22130
363	nìjaké	22076
364	a	22060
365	Ano	22048
366	ona	21970
367	Teï	21899
368	strany	21871
369	rád	21843
370	domu	21751
371	No	21697
372	sama	21684
373	doma	21677
374	mnohem	21370
375	potom	21338
376	jednu	21301
377	zemì	21254
378	vidìt	21233
379	Jen	21142
380	máme	21141
381	monost	21110
382	ménì	21096
383	mohli	21076
384	tyto	21047
385	takové	21042
386	mu	20976
387	dítì	20955
388	mùeme	20903
389	zároveò	20881
390	mùj	20865
391	zpùsobem	20864
392	hlavou	20746
393	ádné	20707
394	mnoho	20585
395	pøesnì	20534
396	øešení	20511
397	èasu	20474
398	zemi	20422
399	období	20401
400	dne	20304
401	pohled	20303
402	systém	20261
403	my	20168
404	ruku	20128
405	hlavu	20002
406	Byla	19965
406	skoro	19965
407	hlavní	19961
408	jeho	19948
409	eny	19940
410	pocit	19876
411	nìjakı	19864
412	skuteènì	19836
413	slova	19815
414	systému	19811
415	jedna	19701
416	prı	19678
417	veèer	19634
418	roky	19608
419	Moná	19606
420	musel	19580
421	naopak	19567
422	rámci	19554
423	tohle	19548
424	milionù	19545
425	rukou	19514
426	procent	19475
427	lepší	19465
428	tolik	19452
429	jiného	19446
430	ena	19361
431	moje	19351
432	nich	19316
433	problém	19248
434	kam	19137
435	školy	19130
436	dveøe	19052
437	urèitì	19035
438	Èeské	18988
439	Není	18897
440	lidi	18863
441	mnou	18799
442	znamená	18774
443	dostal	18689
444	mimo	18605
445	lety	18580
446	paní	18567
447	Take	18530
448	pùl	18494
449	ostatní	18489
450	svìt	18473
451	vèetnì	18464
452	rùznıch	18416
453	pomocí	18305
454	nìkteré	18292
455	noci	18278
456	èlovìka	18260
457	tuto	18254
458	spíše	18234
459	minut	18227
460	nejlepší	18205
461	zøejmì	18177
462	firmy	18101
462	Praze	18101
463	jedno	18083
464	Jene	18076
465	zatímco	17974
466	nemùe	17900
467	nejvìtší	17834
468	velkı	17701
469	alespoò	17643
470	nebyla	17613
471	místa	17543
472	Jsem	17526
473	naší	17382
474	Proto	17365
475	novı	17331
476	mnoství	17254
477	ádnı	17226
478	Ani	17118
479	dìtí	17115
480	situace	17111
481	dobré	17054
482	deset	17049
483	dále	17003
484	vìtšinou	16970
484	zaøízení	16970
485	mìlo	16926
486	Ještì	16916
487	poprvé	16848
488	pøišel	16824
489	budu	16794
490	malé	16767
491	tato	16692
492	Ta	16678
493	èeské	16675
494	jít	16666
495	jich	16646
496	udìlat	16637
497	zaèala	16605
498	byste	16552
499	mìly	16519
500	nìmu	16516
501	stalo	16435
502	základní	16414
503	zhruba	16333
504	jméno	16327
505	konci	16325
506	ráno	16278
507	nebo	16273
508	kromì	16240
509	spoleènost	16221
510	kterım	16215
511	hodiny	16185
512	poté	16155
513	nìkterıch	16132
514	zpátky	16108
515	jaké	16050
516	daleko	16042
517	dá	16023
518	koneènì	16019
519	vyšší	15967
520	nemìl	15955
521	jinıch	15909
522	posledních	15864
523	informace	15837
524	vy	15825
525	otec	15818
526	rovnì	15776
527	takovı	15747
528	rozdíl	15722
529	cestu	15641
530	málo	15617
531	situaci	15605
532	mé	15603
533	mnoha	15588
534	Jsou	15546
535	øízení	15503
536	První	15461
537	druhou	15434
538	Jan	15403
539	jen	15380
540	roli	15365
541	jinı	15325
542	ÈR	15322
543	spíš	15318
544	Kdo	15285
545	mue	15277
546	Protoe	15245
547	budeme	15223
548	máte	15216
549	zeptal	15180
550	smrti	15173
551	dosud	15152
552	jistì	15103
553	dvìma	15098
554	Petr	15081
555	kterého	15074
556	ivotì	15049
557	vìc	15014
558	najednou	15004
559	vèera	14996
560	okolí	14944
561	dal	14938
562	nìjakou	14900
563	smìrem	14896
564	letos	14866
565	druhı	14864
566	mne	14859
567	problémy	14825
568	vidìl	14811
569	pøesto	14801
570	ano	14753
571	oba	14749
572	dùm	14742
573	stavu	14709
574	všem	14704
575	mui	14693
576	stal	14692
577	zrovna	14669
578	nìm	14627
579	obou	14609
580	energie	14595
581	nového	14577
582	kterıch	14516
583	hlas	14475
584	poèet	14398
585	Mám	14394
586	došlo	14391
587	zaèátku	14390
588	pomalu	14373
589	Pøed	14356
590	m	14307
591	Tento	14243
592	prostor	14234
593	vlasy	14220
594	obvykle	14213
595	prvním	14207
596	velice	14201
597	srdce	14187
598	Další	14171
599	skupiny	14152
600	velkou	14087
601	tìlo	14024
602	teprve	13987
603	matka	13921
604	platí	13919
605	mohlo	13892
606	tøetí	13881
607	èím	13880
608	skuteènosti	13872
609	nìjak	13852
610	postupnì	13846
611	døíve	13817
612	docela	13799
613	Kromì	13760
614	dny	13750
615	ulici	13736
616	trhu	13697
617	konce	13673
618	A	13582
619	podaøilo	13570
620	e	13531
621	slovo	13525
622	jasné	13463
623	kadé	13438
624	lépe	13386
625	vím	13376
626	mìsto	13374
627	tìla	13357
628	novıch	13284
629	pøedtím	13261
630	toto	13227
631	jednotlivıch	13169
632	uvedl	13167
633	vedení	13164
634	cenu	13158
635	prostoru	13155
636	brzy	13083
637	tıden	13075
638	dolù	13064
639	šest	13049
640	jejím	13044
641	Její	13026
642	naprosto	13017
643	metrù	13013
644	domácí	13001
645	vìcí	12985
646	abychom	12977
647	základì	12976
648	Mìl	12956
649	Právì	12931
650	obèas	12923
651	sociální	12896
652	nutné	12889
653	území	12874
654	ven	12865
655	Nebo	12862
656	nohy	12861
657	zájem	12845
658	dát	12823
659	hrát	12779
660	vìku	12749
661	Má	12741
662	rùzné	12693
663	tvoøí	12666
664	pravdu	12642
665	rozhodnì	12635
666	pomìrnì	12560
667	dostat	12558
668	souèástí	12550
669	dùleité	12523
670	jejich	12502
671	celá	12498
672	takhle	12496
673	zpùsob	12493
674	myslím	12481
674	Myslím	12481
675	Dnes	12440
676	Mezi	12437
677	cesty	12431
678	menší	12428
